week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
4,2014,9,9,2,3288,PIT,TB,1,AFC-NORTH,NFC-SOUTH,44,2,7,1,Sack,-6,Regular
4,2014,9,9,2,3243,PIT,TB,1,AFC-NORTH,NFC-SOUTH,38,3,13,1,short middle,12,Regular
4,2014,9,9,2,3184,PIT,TB,1,AFC-NORTH,NFC-SOUTH,60,4,1,0,center,2,Regular
4,2014,9,9,2,3145,PIT,TB,1,AFC-NORTH,NFC-SOUTH,62,1,10,0,right guard,1,Regular
4,2014,9,9,2,3108,PIT,TB,1,AFC-NORTH,NFC-SOUTH,69,1,10,0,center,6,Regular
4,2014,9,9,2,3077,PIT,TB,1,AFC-NORTH,NFC-SOUTH,75,2,4,0,left tackle,7,Regular
4,2014,9,9,2,3040,PIT,TB,1,AFC-NORTH,NFC-SOUTH,83,1,10,1,Sack,-3,Regular
4,2014,9,9,2,3005,PIT,TB,1,AFC-NORTH,NFC-SOUTH,80,2,13,1,deep right,27,Regular
4,2014,9,10,2,2998,TB,PIT,0,NFC-SOUTH,AFC-NORTH,13,1,10,1,short right,9,Regular
4,2014,9,10,2,2961,TB,PIT,0,NFC-SOUTH,AFC-NORTH,22,2,1,0,left tackle,3,Regular
4,2014,9,10,2,2916,TB,PIT,0,NFC-SOUTH,AFC-NORTH,15,1,20,1,short left,0,Regular
4,2014,9,10,2,2908,TB,PIT,0,NFC-SOUTH,AFC-NORTH,4,2,30,0,center,-1,Regular
4,2014,9,10,2,2864,TB,PIT,0,NFC-SOUTH,AFC-NORTH,3,3,31,1,short middle,16,Regular
4,2014,9,11,2,2813,PIT,TB,1,AFC-NORTH,NFC-SOUTH,33,1,10,1,short right,7,Regular
4,2014,9,11,2,2788,PIT,TB,1,AFC-NORTH,NFC-SOUTH,41,2,3,1,short right,7,Regular
4,2014,9,11,2,2783,PIT,TB,1,AFC-NORTH,NFC-SOUTH,58,1,10,1,short left,9,Regular
4,2014,9,11,2,2759,PIT,TB,1,AFC-NORTH,NFC-SOUTH,68,2,1,1,short middle,8,Regular
4,2014,9,11,2,2755,PIT,TB,1,AFC-NORTH,NFC-SOUTH,76,1,10,1,short middle,4,Regular
4,2014,9,11,2,2732,PIT,TB,1,AFC-NORTH,NFC-SOUTH,81,3,6,1,Sack,-6,Regular
