week,season_year,month,drive_id,uarter,time,pos_team,def_team,home,pos_division,def_division,yardline,down,yards_to_go,play_type,play_direction,yards,game_time
10,2015,11,26,4,1020,BAL,JAX,1,AFC-NORTH,AFC-SOUTH,58,3,9,1,short right,4,Regular
10,2015,11,27,4,966,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,13,1,10,1,short middle,8,Regular
10,2015,11,27,4,949,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,21,2,2,1,short middle,6,Regular
10,2015,11,27,4,933,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,28,1,10,0,Scrambles,11,Regular
10,2015,11,27,4,925,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,35,1,15,1,short middle,0,Regular
10,2015,11,27,4,920,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,35,2,15,1,deep left,0,Regular
10,2015,11,27,4,914,JAX,BAL,0,AFC-SOUTH,AFC-NORTH,35,3,15,1,short left,11,Regular
10,2015,11,1,1,4500,PIT,CLE,1,AFC-NORTH,AFC-NORTH,13,1,10,1,short right,10,Regular
10,2015,11,1,1,4474,PIT,CLE,1,AFC-NORTH,AFC-NORTH,24,1,10,0,right guard,-4,Regular
10,2015,11,1,1,4435,PIT,CLE,1,AFC-NORTH,AFC-NORTH,19,2,14,0,left tackle,1,Regular
10,2015,11,1,1,4395,PIT,CLE,1,AFC-NORTH,AFC-NORTH,20,3,13,1,short right,8,Regular
10,2015,11,3,1,4346,PIT,CLE,1,AFC-NORTH,AFC-NORTH,96,1,10,1,short left,5,Regular
10,2015,11,3,1,4310,PIT,CLE,1,AFC-NORTH,AFC-NORTH,52,2,5,0,right guard,1,Regular
10,2015,11,3,1,4266,PIT,CLE,1,AFC-NORTH,AFC-NORTH,53,3,4,1,short right,0,Regular
10,2015,11,4,1,4253,CLE,PIT,0,AFC-NORTH,AFC-NORTH,21,1,10,0,center,1,Regular
10,2015,11,4,1,4220,CLE,PIT,0,AFC-NORTH,AFC-NORTH,22,2,9,1,short right,0,Regular
10,2015,11,4,1,4212,CLE,PIT,0,AFC-NORTH,AFC-NORTH,22,3,9,1,deep left,61,Regular
10,2015,11,4,1,4184,CLE,PIT,0,AFC-NORTH,AFC-NORTH,98,1,10,0,center,-1,Regular
10,2015,11,4,1,4142,CLE,PIT,0,AFC-NORTH,AFC-NORTH,97,2,11,1,short right,0,Regular
10,2015,11,4,1,4134,CLE,PIT,0,AFC-NORTH,AFC-NORTH,97,3,11,1,short left,6,Regular
10,2015,11,5,1,4086,PIT,CLE,1,AFC-NORTH,AFC-NORTH,13,1,10,1,deep right,0,Regular
10,2015,11,5,1,4081,PIT,CLE,1,AFC-NORTH,AFC-NORTH,7,2,15,1,deep middle,0,Regular
